0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:36:02 +0900] "GET /JSP02/Ex01_randomWinner.jsp?title=1&ran=2&ran=3&ran=4 HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:41:08 +0900] "GET /JSP02/Ex01_randomWinner.jsp?title=1&ran=2&ran=3&ran=4 HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:41:26 +0900] "GET /JSP02/Ex01_randomWinner.jsp?title=%E3%85%88%E3%85%88&ran=2&ran=3&ran=4 HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:41:27 +0900] "GET /JSP02/Ex01_randomWinner.jsp?title=%E3%85%88%E3%85%88&ran=2&ran=3&ran=4 HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:41:27 +0900] "GET /JSP02/Ex01_randomWinner.jsp?title=%E3%85%88%E3%85%88&ran=2&ran=3&ran=4 HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:49:50 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:49:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:50:32 +0900] "POST /JSP02/Ex01_createInput.jsp HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:50:42 +0900] "GET /JSP02/Ex01_randomWinner.jsp?title=%EC%95%88%EB%85%95&ran=%ED%95%98&ran=%EC%84%B8&ran=%EC%9A%94&ran=%21 HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:51:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:52:02 +0900] "POST /JSP02/Ex01_createInput.jsp HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:52:21 +0900] "POST /JSP02/Ex01_createInput.jsp HTTP/1.1" 200 799
